eval_session,class_id,class_name,intro_session,query_count,accuracy
6,73,shark,3,100,69.0
6,74,shrew,3,100,37.0
6,75,skunk,4,100,89.0
6,76,skyscraper,4,100,82.0
6,77,snail,4,100,86.0
6,78,snake,4,100,93.0
6,79,spider,4,100,62.0
6,80,squirrel,5,100,70.0
6,81,streetcar,5,100,80.0
6,82,sunflower,5,100,98.0
6,83,sweet pepper,5,100,90.0
6,84,table,5,100,75.0
6,85,tank,6,100,97.0
6,86,telephone,6,100,89.0
6,87,television,6,100,80.0
6,88,tiger,6,100,84.0
6,89,tractor,6,100,97.0
7,0,apple,0,100,99.0
7,1,aquarium fish,0,100,99.0
7,2,baby,0,100,74.0
7,3,bear,0,100,94.0
7,4,beaver,0,100,82.0
7,5,bed,0,100,95.0
7,6,bee,0,100,89.0
7,7,beetle,0,100,80.0
7,8,bicycle,0,100,96.0
7,9,bottle,0,100,97.0
7,10,bowl,0,100,73.0
7,11,boy,0,100,78.0
7,12,bridge,0,100,88.0
7,13,bus,0,100,88.0
7,14,butterfly,0,100,87.0
7,15,camel,0,100,96.0
7,16,can,0,100,90.0
7,17,castle,0,100,90.0
7,18,caterpillar,0,100,84.0
7,19,cattle,0,100,94.0
7,20,chair,0,100,93.0
7,21,chimpanzee,0,100,100.0
7,22,clock,0,100,94.0
7,23,cloud,0,100,86.0
7,24,cockroach,0,100,94.0
7,25,couch,0,100,81.0
7,26,crab,0,100,85.0
7,27,crocodile,0,100,80.0
7,28,cup,0,100,90.0
7,29,dinosaur,0,100,94.0
7,30,dolphin,0,100,94.0
7,31,elephant,0,100,97.0
7,32,flatfish,0,100,86.0
7,33,forest,0,100,75.0
7,34,fox,0,100,92.0
7,35,girl,0,100,79.0
7,36,hamster,0,100,94.0
7,37,house,0,100,93.0
7,38,kangaroo,0,100,95.0
7,39,keyboard,0,100,97.0
7,40,lamp,0,100,78.0
7,41,lawn mower,0,100,98.0
7,42,leopard,0,100,89.0
7,43,lion,0,100,95.0
7,44,lizard,0,100,88.0
7,45,lobster,0,100,70.0
7,46,man,0,100,78.0
7,47,maple tree,0,100,55.0
7,48,motorcycle,0,100,97.0
7,49,mountain,0,100,93.0
7,50,mouse,0,100,94.0
7,51,mushroom,0,100,95.0
7,52,oak tree,0,100,83.0
7,53,orange,0,100,100.0
7,54,orchid,0,100,91.0
7,55,otter,0,100,83.0
7,56,palm tree,0,100,96.0
7,57,pear,0,100,90.0
7,58,pickup truck,0,100,99.0
7,59,pine tree,0,100,77.0
7,60,plain,1,100,57.0
7,61,plate,1,100,71.0
7,62,poppy,1,100,89.0
7,63,porcupine,1,100,53.0
7,64,possum,1,100,64.0
7,65,rabbit,2,100,82.0
7,66,raccoon,2,100,87.0
7,67,ray,2,100,65.0
7,68,road,2,100,88.0
7,69,rocket,2,100,83.0
7,70,rose,3,100,93.0
7,71,sea,3,100,79.0
7,72,seal,3,100,53.0
7,73,shark,3,100,69.0
7,74,shrew,3,100,38.0
7,75,skunk,4,100,89.0
7,76,skyscraper,4,100,82.0
7,77,snail,4,100,86.0
7,78,snake,4,100,94.0
7,79,spider,4,100,64.0
7,80,squirrel,5,100,69.0
7,81,streetcar,5,100,76.0
7,82,sunflower,5,100,98.0
7,83,sweet pepper,5,100,91.0
7,84,table,5,100,73.0
7,85,tank,6,100,97.0
7,86,telephone,6,100,89.0
7,87,television,6,100,79.0
7,88,tiger,6,100,84.0
7,89,tractor,6,100,97.0
7,90,train,7,100,80.0
7,91,trout,7,100,77.0
7,92,tulip,7,100,76.0
7,93,turtle,7,100,81.0
7,94,wardrobe,7,100,91.0
8,0,apple,0,100,99.0
8,1,aquarium fish,0,100,99.0
8,2,baby,0,100,73.0
8,3,bear,0,100,94.0
8,4,beaver,0,100,82.0
8,5,bed,0,100,95.0
8,6,bee,0,100,89.0
8,7,beetle,0,100,81.0
8,8,bicycle,0,100,96.0
8,9,bottle,0,100,96.0
8,10,bowl,0,100,71.0
